Date,AAPL Adj Close,MSFT Adj Close,AAPL Close,MSFT Close,AAPL High,MSFT High,AAPL Low,MSFT Low,AAPL Open,MSFT Open,AAPL Volume,MSFT Volume
2020-01-02,73.44939422607422,155.7617950439453,75.0875015258789,160.6199951171875,75.1500015258789,160.72999572753906,73.79750061035156,158.3300018310547,74.05999755859375,158.77999877929688,135480400,22622100
2020-01-03,72.7353286743164,153.82229614257812,74.35749816894531,158.6199951171875,75.1449966430664,159.9499969482422,74.125,158.05999755859375,74.2874984741211,158.32000732421875,146322800,21116200
2020-01-06,73.31488037109375,154.2199249267578,74.94999694824219,159.02999877929688,74.98999786376953,159.10000610351562,73.1875,156.50999450683594,73.44750213623047,157.0800018310547,118387200,20813700
2020-01-07,72.97007751464844,152.81375122070312,74.59750366210938,157.5800018310547,75.2249984741211,159.6699981689453,74.37000274658203,157.32000732421875,74.95999908447266,159.32000732421875,108872000,21634100
2020-01-08,74.14391326904297,155.24783325195312,75.79750061035156,160.08999633789062,76.11000061035156,160.8000030517578,74.29000091552734,157.9499969482422,74.29000091552734,158.92999267578125,132079200,27746500
2020-01-09,75.71878814697266,157.1873321533203,77.40750122070312,162.08999633789062,77.60749816894531,162.22000122070312,76.55000305175781,161.02999877929688,76.80999755859375,161.83999633789062,170108400,21385000
2020-01-10,75.88993835449219,156.46002197265625,77.5824966430664,161.33999633789062,78.1675033569336,163.22000122070312,77.0625,161.17999267578125,77.6500015258789,162.82000732421875,140644800,20725900
2020-01-13,77.51129913330078,158.34133911132812,79.23999786376953,163.27999877929688,79.26750183105469,163.30999755859375,77.7874984741211,161.25999450683594,77.91000366210938,161.75999450683594,121532000,21626500
2020-01-14,76.46463775634766,157.22613525390625,78.16999816894531,162.1300048828125,79.39250183105469,163.60000610351562,78.0425033569336,161.72000122070312,79.17500305175781,163.38999938964844,161954400,23477400
2020-01-15,76.13694763183594,158.2443389892578,77.83499908447266,163.17999267578125,78.875,163.94000244140625,77.38749694824219,162.57000732421875,77.9625015258789,162.6199951171875,121923600,21417900
2020-01-16,77.0906753540039,161.1439666748047,78.80999755859375,166.1699981689453,78.92500305175781,166.24000549316406,78.02249908447266,164.02999877929688,78.39749908447266,164.35000610351562,108829200,23865400
2020-01-17,77.94414520263672,162.0457763671875,79.68250274658203,167.10000610351562,79.68499755859375,167.47000122070312,78.75,165.42999267578125,79.06749725341797,167.4199981689453,137816400,34371700
2020-01-21,77.41593170166016,161.4639434814453,79.14250183105469,166.5,79.75499725341797,168.19000244140625,79.0,166.42999267578125,79.29750061035156,166.67999267578125,110843200,29517200
2020-01-22,77.69226837158203,160.6881561279297,79.42500305175781,165.6999969482422,79.99749755859375,167.49000549316406,79.32749938964844,165.67999267578125,79.6449966430664,167.39999389648438,101832400,24138800
